id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Aurelia;Renner;Carli86@hotmail.com;Ball Qatari Rial parsing;2019-09-30T08:44:15;37429;68324
2;Ahmad;Kunze;Lia_Simonis57@gmail.com;Music Data East Caribbean Dollar;2019-09-30T15:10:18;60060;21567
3;Triston;Okuneva;Glenna_Orn@hotmail.com;world-class;2019-10-01T03:35:06;99941;60495
4;Alysson;Halvorson;Sammy_Jakubowski75@hotmail.com;Awesome optimal Refined;2019-09-30T15:47:45;40414;76519
5;Erik;Walsh;Hyman_Schoen87@hotmail.com;help-desk SAS embrace;2019-10-01T00:16:59;54448;64907
6;Abraham;Hansen;Loma.Hickle@gmail.com;Iceland Krona deliver;2019-09-30T20:38:22;59648;23754
7;Karli;Hilpert;Danika58@yahoo.com;Chicken payment;2019-09-30T13:11:02;46349;50044
8;Gennaro;Littel;Van.Leannon91@hotmail.com;cross-platform;2019-10-01T04:47:38;38019;14899
9;Grayce;Leffler;Delaney_Lemke@yahoo.com;generate 1080p;2019-09-30T14:10:23;71549;95552
10;Jovani;Auer;Cletus89@hotmail.com;Unbranded Frozen Bike invoice;2019-09-30T22:17:10;6026;19715
